1,一,1,one,ichi / itsu,hito-tsu
2,二,2,two,ni / ji,futa-tsu
3,三,3,three,san,mit-tsu
4,四,5,four,shi,yot-tsu / yon
5,五,4,five,go,itsu-tsu
6,六,4,six,roku,mut-tsu
7,七,2,seven,shichi,nana-tsu
8,八,2,eight,hachi,yat-tsu
9,九,2,nine,ku / kyū,kokono-tsu
10,十,2,ten,jū,tō
11,百,6,hundred,hyaku,momo
12,千,3,thousand,sen,chi
13,上,3,top / above,jō,ue
14,下,3,bottom / below,ka / ge,shita / shimo / moto
15,左,5,left,sa,hidari
16,右,5,right,u / yū,migi
17,中,4,inside / middle,chū / jū,naka
18,大,3,large,dai / tai,ō-kii
19,小,3,small,shō,chii-sai / ko / o
20,月,4,month; moon,gatsu / getsu,tsuki
21,日,4,day; sun,nichi / jitsu,hi / ka
22,年,6,year,nen,toshi
23,早,6,early,sō / sa,haya-i
24,木,4,tree,moku / boku,ki
25,林,8,woods,rin,hayashi
26,山,3,mountain,san / zan,yama
27,川,3,river,sen,kawa
28,土,3,soil,do / to,tsuchi
29,空,8,sky,kū,sora / a-ku / kara
30,田,5,rice field,den,da / ta
31,天,4,heaven / sky,ten,ame / ama
32,生,5,living / birth / raw,sei / shō,i-kiru / u-mu / nama
33,花,7,flower,ka,hana
34,草,9,grass,sō,kusa
35,虫,6,insect,chū,mushi
36,犬,4,dog,ken,inu
37,人,2,person,jin / nin,hito
38,名,6,name,mei / myō,na
39,女,3,female,jo / nyo,on'na
40,男,7,male,dan / nan,otoko
41,子,3,child,shi / su,ko
42,目,5,eye,moku,me
43,耳,6,ear,ji / ni,mimi
44,口,3,mouth,kou,kuchi
45,手,4,hand,shu,te
46,足,7,foot,soku,ashi
47,見,7,see,ken / gen,mi-ru
48,音,9,sound,on,ne / oto
49,力,2,power,riki / ryoku,chikara
50,気,6,spirit; air,ki / ke,iki
51,円,4,yen; circle,en,maru
52,入,2,enter,nyū,hai-ru / i-ru
53,出,5,exit,shutsu,de-ru
54,立,5,stand up,ritsu,ta-tsu
55,休,6,rest,kyū,yasu-mu
56,先,6,previous,sen,saki
57,夕,3,evening,seki,yū
58,本,5,book,hon,moto
59,文,4,text,bun / mon,fumi
60,字,6,character,ji,aza
61,学,8,study,gaku,mana-bu
62,校,10,school,kō,kase
63,村,7,village,son,mura
64,町,7,town,chō,machi
65,森,12,forest,shin,mori
66,正,5,correct,sei / shō,tada-shii / masa
67,水,4,water,sui,mizu
68,火,4,fire,ka,hi
69,玉,5,ball,gyoku,tama
70,王,4,king,ou,kimi
71,石,5,stone,seki / koku,ishi
72,竹,6,bamboo,chiku,take
73,糸,6,thread,shi,ito
74,貝,7,shellfish,bai,kai
75,車,7,vehicle,sha,kuruma
76,金,8,gold / money,kin,kane / kana
77,雨,8,rain,u,ame / ama
78,赤,7,red,seki,aka
79,青,8,blue,sei / shō,ao
80,白,5,white,haku,shiro / shira
